NO_OF_FRAMES	2
NO_OF_CAMERAS	13
NO_OF_MARKERS	24
FREQUENCY	250
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-09-30, 11:38:42	84559.36778950
DATA_INCLUDED	3D
MARKER_NAMES	CV7	L_SIA	R_SIA	TV10	L_SAE	L_HUM	L_HLE	L_FAR	L_RSP	L_USP	R_SAE	R_HUM	R_HLE	R_FAR	R_RSP	R_USP	L_IAS	L_IPS	R_IPS	R_IAS	L_HM2	R_HM2	L_HL5	R_HL5
-500.766	320.752	1422.468	-422.728	214.702	1246.384	-430.414	417.885	1240.031	-430.579	321.035	1182.037	-583.097	166.843	1378.419	-582.468	80.410	1240.024	-566.924	43.938	1088.979	-610.983	49.838	967.066	-675.310	132.139	872.608	-649.557	68.918	850.558	-591.811	471.147	1368.613	-555.180	568.757	1224.837	-539.501	577.992	1079.059	-582.380	577.732	959.623	-661.527	493.529	856.909	-623.798	553.601	835.335	-595.828	158.565	940.589	-373.272	301.722	948.895	-425.959	404.513	940.551	-654.190	424.837	921.533	-705.844	144.097	771.508	-714.978	511.814	775.379	-647.610	95.530	770.332	-646.432	556.831	765.339
-500.764	320.810	1422.424	-422.705	214.816	1246.331	-430.284	417.951	1240.031	-430.589	321.152	1181.993	-583.098	167.114	1378.098	-582.395	80.411	1239.758	-566.764	44.164	1088.676	-610.999	50.012	966.837	-675.436	132.266	872.611	-649.533	69.315	850.300	-591.759	471.340	1368.405	-555.171	569.177	1224.824	-539.471	578.285	1078.942	-582.492	578.198	959.431	-661.859	495.771	858.093	-623.912	553.687	834.983	-595.756	159.094	940.184	-373.064	301.848	948.927	-425.886	404.634	940.574	-654.046	424.824	921.551	-705.800	144.293	771.491	-714.830	512.181	775.315	-647.616	95.694	770.164	-646.475	557.155	765.177
